correl;sexo;agno_nac;mes_nac;edad;saldo_202212;monto_retiros;porct_saldo_r1;porct_saldo_r2;porct_saldo_r3;cat_r1_r2_r3;retira_100;ind_cumple;monto_retiros_cero_ind;saldo_202212_cero_ind;region
3525;F;1934;3;88;0;550000;100;;;1;1;0;0;1;13
6504;M;1938;3;84;5800000;6750000;10;10;10;7;0;0;0;0;10
11184;F;1941;9;81;5.06e+07;1.63e+07;7;10;9;7;0;0;0;0;13
11966;F;1951;11;71;4.73e+07;1.58e+07;8;9;10;7;0;0;0;0;13
12700;M;1940;12;82;0;50000;100;;;1;1;0;0;1;8
17251;M;1944;12;78;3.03e+07;1.49e+07;9;10;10;7;0;0;0;0;8
18038;F;1942;8;80;1.05e+08;1.08e+07;4;;5;5;0;0;0;0;13
19224;M;1950;2;72;6.16e+08;1.08e+07;1;;1;5;0;0;0;0;13
20074;M;1947;10;75;300000;450000;;;100;3;1;0;0;0;5
21881;M;1946;6;76;2.80e+08;1.63e+07;2;2;2;7;0;0;0;0;15
25655;F;1946;10;76;7300000;4150000;10;10;12;7;0;0;0;0;16
30055;M;1950;7;72;1.03e+08;1.64e+07;4;4;4;7;0;0;0;0;13
30566;M;1948;8;74;1.27e+08;1.64e+07;3;4;4;7;0;0;0;0;2
30816;M;1944;3;78;3.77e+08;1.63e+07;1;1;1;7;0;0;0;0;16
31434;M;1946;4;76;2.61e+08;1.64e+07;2;2;2;7;0;0;0;0;13
33508;M;1946;7;76;2.84e+08;1.09e+07;1;;2;5;0;0;0;0;9
33713;M;1945;5;77;300000;200000;100;100;;4;1;0;0;0;6
34017;M;1943;7;79;2.35e+07;7850000;10;10;;4;0;0;0;0;5
34176;F;1951;8;71;1.88e+08;1.64e+07;2;2;2;7;0;0;0;0;8
34584;M;1946;11;76;4.59e+07;1.10e+07;7;8;;4;0;0;0;0;15
35070;F;1944;7;78;1.76e+08;1.64e+07;3;3;3;7;0;0;0;0;13
37232;F;1947;12;75;1.80e+08;1.08e+07;2;;3;5;0;0;0;0;8
38395;F;1949;4;73;2.48e+08;5400000;;;2;3;0;0;0;0;13
39327;M;1949;7;73;3.27e+07;8500000;10;10;;4;0;0;0;0;6
39957;M;1950;10;72;2.57e+08;5400000;;;2;3;0;0;0;0;8
41422;M;1947;3;75;2.43e+08;1.64e+07;2;2;2;7;0;0;0;0;10
41718;M;1951;9;71;1.65e+08;1.64e+07;3;3;3;7;0;0;0;0;13
41945;M;1952;10;70;1.26e+08;1.64e+07;3;3;3;7;0;0;0;0;8
42431;M;1946;7;76;3.22e+08;1.08e+07;;2;2;6;0;0;0;0;13
42861;M;1956;5;66;1.06e+08;1.08e+07;5;;5;5;0;1;0;0;13
43397;M;1952;12;70;1.68e+08;1.64e+07;3;3;3;7;0;0;0;0;13
43553;M;1948;1;74;3800000;3950000;10;11;14;7;0;0;0;0;2
45074;M;1945;5;77;200000;50000;100;;;1;1;0;0;0;5
45726;F;1949;6;73;1.69e+08;1.63e+07;3;3;3;7;0;0;0;0;8
46485;M;1950;5;72;3.36e+07;1.51e+07;9;10;10;7;0;0;0;0;11
47457;M;1951;7;71;1.14e+08;1.08e+07;4;;5;5;0;0;0;0;8
47709;F;1951;12;71;1.70e+08;1.64e+07;3;3;3;7;0;0;0;0;9
47728;F;1952;5;70;2.01e+08;1.08e+07;2;3;;4;0;0;0;0;8
47893;M;1947;6;75;4.70e+07;1.64e+07;6;7;8;7;0;0;0;0;5
48403;M;1951;12;71;0;4300000;10;10;18;7;0;0;0;0;9
48617;M;1950;12;72;1.59e+08;1.09e+07;3;;3;5;0;0;0;0;13
48733;M;1951;9;71;2.40e+08;5400000;2;;;1;0;0;0;0;13
48891;M;1951;12;71;0;1500000;61;;100;5;1;0;0;1;2
49539;M;1954;4;68;4.59e+08;1.08e+07;1;;1;5;0;0;0;0;13
